X1	X2	NSH	SHX1	SHX2	SH	Type
DH12	MB5	12588	0.9526	0.9708	0.9526	Non-TR
DH12	MB9	12917	0.9494	0.9736	0.9494	Non-TR
DH12	MM10	12520	0.9465	0.9645	0.9465	Non-TR
DH12	MM12	12790	0.9491	0.9614	0.9491	Non-TR
DH12	MM13	12615	0.949	0.9642	0.949	Non-TR
DH12	MM15a	12573	0.9445	0.966	0.9445	Non-TR
DH12	MM15b	12296	0.9505	0.9648	0.9505	Non-TR
DH12	MM1	12619	0.9519	0.9659	0.9519	Non-TR
DH12	MM20	12945	0.9501	0.9657	0.9501	Non-TR
DH12	MM25	12770	0.949	0.9671	0.949	Non-TR
DH12	MM29	12811	0.9516	0.9645	0.9516	Non-TR
DH12	MM2	12821	0.9512	0.9604	0.9512	Non-TR
DH12	MM30	12516	0.9505	0.9645	0.9505	Non-TR
DH12	MM6	12660	0.9484	0.9672	0.9484	Non-TR
DH12	MM7	12516	0.9465	0.9684	0.9465	Non-TR
DH12	MM8	12499	0.9497	0.9662	0.9497	Non-TR
DH12	NB11	12887	0.9538	0.9703	0.9538	Non-TR
DH12	NB12	12736	0.9507	0.9704	0.9507	Non-TR
DH12	NB13	12890	0.9606	0.9499	0.9499	Non-TR
DH12	NB15	12722	0.9573	0.9689	0.9573	Non-TR
DH12	NB17	12535	0.9532	0.9711	0.9532	Non-TR
DH12	NB19	13101	0.9659	0.9525	0.9525	Non-TR
DH12	NB1	12640	0.9494	0.9503	0.9494	Non-TR
DH12	NB27a	12898	0.9523	0.971	0.9523	Non-TR
DH12	NB27b	12913	0.9521	0.9713	0.9521	Non-TR
DH12	NB28	13054	0.9546	0.9719	0.9546	Non-TR
DH12	NB2	13052	0.9601	0.9506	0.9506	Non-TR
DH12	NB5	12914	0.9582	0.9529	0.9529	Non-TR
DH12	NB6	13096	0.9605	0.951	0.951	Non-TR
DH12	NB8	13044	0.9536	0.9722	0.9536	Non-TR
DH12	NB9	12473	0.9539	0.9679	0.9539	Non-TR
DH12	WH11	13149	0.9626	0.951	0.951	Non-TR
DH12	WH13	13224	0.9653	0.9497	0.9497	Non-TR
DH12	WH15	13059	0.9656	0.9497	0.9497	Non-TR
DH12	WH1	13115	0.9611	0.949	0.949	Non-TR
DH12	WH20	13152	0.9639	0.9489	0.9489	Non-TR
DH12	WH22	13016	0.9635	0.9485	0.9485	Non-TR
DH12	WH25	12974	0.9617	0.951	0.951	Non-TR
DH12	WH28	13069	0.9626	0.9503	0.9503	Non-TR
DH12	WH29	9311	0.9574	0.9526	0.9526	Non-TR
DH12	WH3a	13030	0.9646	0.951	0.951	Non-TR
DH12	WH3b	12830	0.9603	0.9515	0.9515	Non-TR
DH12	WH5	13238	0.9639	0.9507	0.9507	Non-TR
DH12	WH6	13156	0.963	0.9489	0.9489	Non-TR
DH12	WH9	13232	0.9641	0.95	0.95	Non-TR
DH15	DH16	12507	0.9768	0.9829	0.9768	Non-TR
DH15	DH18	14397	0.9811	0.9809	0.9809	Non-TR
DH15	DH21	13660	0.9755	0.9808	0.9755	Non-TR
DH15	DH23	14589	0.9814	0.9804	0.9804	Non-TR
DH15	DH25	14626	0.98	0.9801	0.98	Non-TR
DH15	DH27	14176	0.9773	0.9814	0.9773	Non-TR
DH15	DH29	14454	0.9812	0.9823	0.9812	Non-TR
DH15	DH2	14367	0.9754	0.9818	0.9754	Non-TR
DH15	DH30	13713	0.9725	0.9817	0.9725	Non-TR
DH15	DH4	14077	0.9766	0.9809	0.9766	Non-TR
DH15	DH6	14297	0.9778	0.9832	0.9778	Non-TR
DH15	DH8	12714	0.9751	0.9815	0.9751	Non-TR
DH15	DP13	13897	0.9526	0.9677	0.9526	Non-TR
DH15	DP17	14172	0.9528	0.9649	0.9528	Non-TR
DH15	DP1	13874	0.9514	0.9658	0.9514	Non-TR
DH15	DP22	14120	0.9518	0.9652	0.9518	Non-TR
DH15	DP23	13361	0.9401	0.966	0.9401	Non-TR
DH15	DP25	13912	0.9522	0.9657	0.9522	Non-TR
DH15	DP26	14250	0.9567	0.9647	0.9567	Non-TR
DH15	DP28	13657	0.955	0.9647	0.955	Non-TR
DH15	DP2	14086	0.9534	0.9657	0.9534	Non-TR
DH15	DP4	13616	0.9533	0.9654	0.9533	Non-TR
DH15	DP6	14167	0.9557	0.9662	0.9557	Non-TR
DH15	DP8	14289	0.956	0.9658	0.956	Non-TR
DH15	FC10	14060	0.9455	0.9736	0.9455	Non-TR
DH15	FC12	13630	0.9411	0.9752	0.9411	Non-TR
DH15	FC13	13572	0.9431	0.9742	0.9431	Non-TR
DH15	FC14	13894	0.9434	0.9747	0.9434	Non-TR
DH15	FC19	11235	0.9294	0.9731	0.9294	Non-TR
DH15	FC23	13637	0.9452	0.9727	0.9452	Non-TR
DH15	FC24	13696	0.9473	0.9741	0.9473	Non-TR
DH15	FC27	13936	0.9464	0.9729	0.9464	Non-TR
DH15	FC28	13287	0.9331	0.9725	0.9331	Non-TR
DH15	FC30a	13938	0.9553	0.9745	0.9553	Non-TR
DH15	FC30b	13795	0.9548	0.976	0.9548	Non-TR
DH15	FC5	13720	0.9443	0.9743	0.9443	Non-TR
DH15	FC7	13751	0.9439	0.9726	0.9439	Non-TR
DH15	FI11	13243	0.9512	0.979	0.9512	Non-TR
DH15	FI16	13834	0.9541	0.9793	0.9541	Non-TR
DH15	FI1	13903	0.9542	0.9781	0.9542	Non-TR
DH15	FI21	13287	0.9538	0.9759	0.9538	Non-TR
DH15	FI22	14186	0.955	0.979	0.955	Non-TR
DH15	FI25	14151	0.9556	0.9787	0.9556	Non-TR
DH15	FI26	13935	0.9526	0.9783	0.9526	Non-TR
DH15	FI29	14322	0.9549	0.9773	0.9549	Non-TR
DH15	FI5	14036	0.9535	0.9783	0.9535	Non-TR
DH15	FI7	13989	0.9559	0.9767	0.9559	Non-TR
DH15	FI8	14043	0.9575	0.9785	0.9575	Non-TR
DH15	FI9	14054	0.9538	0.9788	0.9538	Non-TR
DH15	GU10	4574	0.3199	0.9492	0.3199	Non-TR
DH15	GU12	2423	0.1678	0.9528	0.1678	Non-TR
DH15	GU13	3599	0.2499	0.9585	0.2499	Non-TR
DH15	GU17	2968	0.2034	0.9618	0.2034	Non-TR
DH15	GU19	2240	0.157	0.9516	0.157	Non-TR
DH15	GU21	2494	0.1865	0.9574	0.1865	Non-TR
DH15	GU23	1511	0.1038	0.9414	0.1038	Non-TR
DH15	GU25	4088	0.2856	0.9538	0.2856	Non-TR
DH15	GU26	4257	0.322	0.9473	0.322	Non-TR
DH15	GU28	4373	0.3197	0.9482	0.3197	Non-TR
DH15	GU30	4569	0.3118	0.9495	0.3118	Non-TR
DH15	GU5	4577	0.3137	0.95	0.3137	Non-TR
DH15	GU7	4462	0.3189	0.9492	0.3189	Non-TR
